excelRow,id,no,town,creek,point,landmark,matched,slide,score,image,title
2,row-2,2,大武鄉,東縣DF092野溪,東縣DF092潛勢溪流溢流點,台9線426.8K,YES,11,75,slides/row-2-no-2-slide-011.webp,DF092( 編號 2) 台 9 線 426.8K 勘查日期： 2025/5/19 114 年檢視情形 集水區面積
3,row-3,3,大武鄉,東縣DF093野溪,東縣DF093潛勢溪流溢流點,富山橋,YES,12,75,slides/row-3-no-3-slide-012.webp,DF093( 編號 3) 富山橋 勘查日期： 2025/5/19 114 年檢視情形 圖例 構造物 土石流潛勢溪流 土石流影響範圍
4,row-4,5,大武鄉,東縣DF095野溪,東縣DF095潛勢溪流溢流點,加羅板公墓,YES,14,75,slides/row-4-no-5-slide-014.webp,DF095( 編號 5) 加羅板公墓 勘查日期： 2025/6/17 114 年檢視情形 圖例 構造物 土石流潛勢溪流 土石流影響範圍
5,row-5,6,大武鄉,東縣DF096野溪,東縣DF096潛勢溪流溢流點,加羅板部落,YES,15,75,slides/row-5-no-6-slide-015.webp,DF096( 編號 6) 加羅板部落 勘查日期： 2025/6/17 114 年檢視情形 圖例 構造物 土石流潛勢溪流 土石流影響範圍
6,row-6,7,大武鄉,東縣DF097野溪,東縣DF097潛勢溪流溢流點,大鳥北一溝上游箱涵,YES,16,75,slides/row-6-no-7-slide-016.webp,DF097( 編號 7) 大鳥北一溝上游箱涵 勘查日期： 2025/5/19 114 年檢視情形 圖例 構造物 土石流潛勢溪流 土石流影響範圍
7,row-7,9,大武鄉,東縣DF099野溪,東縣DF099潛勢溪流溢流點(BD01),水田橋,YES,18,75,slides/row-7-no-9-slide-018.webp,DF099( 編號 9) 水田橋 勘查日期： 2025/5/19 114 年檢視情形 上游 S 淤 =3°
8,row-8,9.1,大武鄉,東縣DF099野溪,東縣DF099潛勢溪流溢流點(CD01),大鳥溪上游,YES,19,75,slides/row-8-no-9.1-slide-019.webp,DF099( 編號 9.1) 大鳥溪上游 勘查日期： 2025/5/19 114 年檢視情形 上游 S 淤 =3.3°
9,row-9,10,大武鄉,東縣DF100野溪,東縣DF100潛勢溪流溢流點(AD01),大武火車站後方,YES,20,75,slides/row-9-no-10-slide-020.webp,DF100( 編號 10) 大武火車站後方 勘查日期： 2025/6/17 114 年檢視情形 上游 S 淤 =3°
10,row-10,10.1,大武鄉,東縣DF100野溪,東縣DF100潛勢溪流溢流點(CD01),大武火車站後方,YES,21,75,slides/row-10-no-10.1-slide-021.webp,DF100( 編號 10.1) 大武火車站後方 勘查日期： 2025/6/17 114 年檢視情形 上游 S 淤 =9°
11,row-11,11,大武鄉,東縣DF102野溪,東縣DF102潛勢溪流溢流點(BD01),太湖路,YES,22,75,slides/row-11-no-11-slide-022.webp,DF102( 編號 11) 太湖路 勘查日期： 2025/6/17 114 年檢視情形 上游 S 淤 =6°
